Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2010 00:00:00,  967.36,   -2.84,   95.70,    2.96,    0.10
01.01.2010 00:10:00,  967.56,   -2.84,   95.80,    1.61,    0.00
01.01.2010 00:20:00,  967.45,   -2.85,   95.70,    2.00,    0.00
01.01.2010 00:30:00,  967.45,   -2.88,   95.80,    2.25,    0.00
01.01.2010 00:40:00,  967.34,   -2.90,   95.80,    2.64,    0.00
01.01.2010 00:50:00,  967.29,   -2.96,   95.80,    2.82,    0.00
01.01.2010 01:00:00,  967.18,   -3.03,   95.90,    2.92,    0.00
01.01.2010 01:10:00,  967.14,   -3.05,   96.00,    2.70,    0.00
01.01.2010 01:20:00,  967.10,   -3.03,   96.10,    2.28,    0.10
01.01.2010 01:30:00,  967.09,   -3.04,   96.20,    2.51,    0.00
01.01.2010 01:40:00,  967.13,   -3.10,   96.30,    2.83,    0.00
01.01.2010 01:50:00,  967.04,   -3.10,   96.30,    3.04,    0.00
01.01.2010 02:00:00,  967.02,   -3.11,   96.30,    2.81,    0.00
01.01.2010 02:10:00,  967.02,   -3.10,   96.40,    2.47,    0.00
01.01.2010 02:20:00,  967.03,   -3.04,   96.40,    2.09,    0.00
01.01.2010 02:30:00,  967.09,   -3.05,   96.20,    2.61,    0.00
01.01.2010 02:40:00,  967.02,   -3.13,   96.20,    3.39,    0.00
01.01.2010 02:50:00,  967.02,   -3.28,   96.20,    3.53,    0.00
01.01.2010 03:00:00,  967.02,   -3.33,   96.30,    4.01,    0.00
01.01.2010 03:10:00,  967.09,   -3.41,   96.40,    3.78,    0.00
01.01.2010 03:20:00,  967.14,   -3.43,   96.60,    3.08,    0.00
01.01.2010 03:30:00,  967.11,   -3.44,   96.70,    3.17,    0.10
01.01.2010 03:40:00,  966.94,   -3.45,   96.70,    3.53,    0.00
01.01.2010 03:50:00,  966.89,   -3.55,   96.70,    3.68,    0.00
01.01.2010 04:00:00,  966.79,   -3.59,   96.80,    3.17,    0.00
01.01.2010 04:10:00,  966.77,   -3.62,   96.90,    3.71,    0.00
01.01.2010 04:20:00,  966.77,   -3.68,   96.90,    3.29,    0.00
01.01.2010 04:30:00,  966.85,   -3.79,   96.90,    3.26,    0.00
01.01.2010 04:40:00,  966.78,   -3.85,   97.00,    3.49,    0.00
01.01.2010 04:50:00,  966.87,   -3.86,   97.20,    2.80,    0.00
01.01.2010 05:00:00,  966.95,   -3.90,   97.20,    2.79,    0.00
01.01.2010 05:10:00,  966.91,   -3.90,   97.40,    2.77,    0.10
01.01.2010 05:20:00,  966.87,   -3.90,   97.30,    3.64,    0.00
01.01.2010 05:30:00,  966.89,   -3.93,   97.40,    3.10,    0.00
01.01.2010 05:40:00,  966.95,   -3.95,   97.40,    2.80,    0.10
01.01.2010 05:50:00,  967.02,   -3.90,   97.40,    2.40,    0.10
01.01.2010 06:00:00,  967.00,   -3.91,   97.30,    2.83,    0.00
01.01.2010 06:10:00,  967.02,   -3.96,   97.30,    2.66,    0.00
01.01.2010 06:20:00,  967.02,   -3.97,   97.20,    2.77,    0.00
01.01.2010 06:30:00,  967.13,   -3.97,   97.10,    2.93,    0.10
01.01.2010 06:40:00,  967.16,   -3.97,   97.00,    2.68,    0.00
01.01.2010 06:50:00,  967.34,   -3.90,   97.00,    1.90,    0.00
01.01.2010 07:00:00,  967.41,   -3.87,   96.90,    1.44,    0.00
01.01.2010 07:10:00,  967.41,   -3.84,   96.80,    1.29,    0.00
01.01.2010 07:20:00,  967.30,   -3.84,   96.60,    2.07,    0.00
01.01.2010 07:30:00,  967.35,   -3.90,   96.50,    2.18,    0.00
01.01.2010 07:40:00,  967.41,   -3.90,   96.50,    1.46,    0.00
01.01.2010 07:50:00,  967.51,   -3.92,   96.40,    1.70,    0.00
01.01.2010 08:00:00,  967.58,   -3.97,   96.30,    1.58,    0.00
01.01.2010 08:10:00,  967.75,   -3.97,   96.20,    1.46,    0.00
01.01.2010 08:20:00,  967.70,   -3.97,   96.00,    1.29,    0.00
01.01.2010 08:30:00,  967.71,   -4.06,   95.60,    1.87,    0.00
01.01.2010 08:40:00,  967.76,   -4.10,   95.50,    1.78,    0.00
01.01.2010 08:50:00,  967.76,   -4.08,   95.40,    1.69,    0.00
01.01.2010 09:00:00,  967.87,   -4.03,   95.30,    1.99,    0.00
01.01.2010 09:10:00,  967.96,   -4.03,   95.10,    2.73,    0.00
01.01.2010 09:20:00,  967.99,   -4.03,   94.90,    2.99,    0.00
01.01.2010 09:30:00,  967.98,   -3.99,   94.60,    2.78,    0.00
01.01.2010 09:40:00,  968.01,   -3.97,   94.20,    3.02,    0.00
01.01.2010 09:50:00,  968.24,   -4.00,   93.70,    3.25,    0.00
01.01.2010 10:00:00,  968.34,   -4.01,   93.50,    3.31,    0.00
01.01.2010 10:10:00,  968.40,   -4.05,   93.30,    3.36,    0.00
01.01.2010 10:20:00,  968.55,   -4.03,   93.20,    3.27,    0.00
